user_id,temperature,rain_chance,wind_speed,outer_id,outer_type,top_id,top_type,bottom_id,bottom_type,score
1,12.2,74.1,2.9,8,Jacket,2,T-shirt,13,Trousers,3.8988571428571426
1,12.2,74.1,2.9,8,Jacket,2,T-shirt,11,Trousers,3.8836190476190473
1,12.2,74.1,2.9,8,Jacket,1,Sweatshirt,13,Trousers,3.805047619047619
1,12.2,74.1,2.9,8,Jacket,1,Sweatshirt,11,Trousers,3.7898095238095237
1,12.2,74.1,2.9,10,Jacket,2,T-shirt,13,Trousers,3.72852380952381
2,15.7,11.1,13.9,27,Jacket,21,Blazer,36,Skirt,1.3017899317518509
2,15.7,11.1,13.9,37,Jacket,21,Blazer,36,Skirt,1.3017899317518509
2,15.7,11.1,13.9,27,Jacket,21,Blazer,31,Trousers,1.122119022055554
2,15.7,11.1,13.9,37,Jacket,21,Blazer,31,Trousers,1.122119022055554
2,15.7,11.1,13.9,27,Jacket,21,Blazer,43,Trousers,1.1217692917185171
3,7.0,82.4,23.7,50,Coat,47,T-shirt,55,Trousers,6.543990121811904
3,7.0,82.4,23.7,50,Coat,47,T-shirt,57,Trousers,6.375070272873014
3,7.0,82.4,23.7,50,Coat,62,Blazer,55,Trousers,6.23954567736746
3,7.0,82.4,23.7,50,Coat,44,T-shirt,55,Trousers,6.235101232923014
3,7.0,82.4,23.7,50,Coat,45,Blazer,55,Trousers,6.142323455145237
4,23.8,24.8,7.5,,,80,T-shirt,75,Shorts,1.0571351890133303
4,23.8,24.8,7.5,,,80,T-shirt,74,Shorts,1.0491351890133302
4,23.8,24.8,7.5,,,80,T-shirt,77,Shorts,1.0430237328333285
4,23.8,24.8,7.5,,,65,T-shirt,76,Skirt,1.0251905720344405
4,23.8,24.8,7.5,,,65,T-shirt,73,Skirt,1.0242463001244413
5,21.4,17.5,19.5,,,87,Blazer,96,Trousers,1.596936968020511
5,21.4,17.5,19.5,,,87,Blazer,98,Trousers,1.1843905279455105
5,21.4,17.5,19.5,,,87,Blazer,94,Skirt,1.1503631815038458
5,21.4,17.5,19.5,,,107,Sweater,96,Trousers,1.149479238547432
5,21.4,17.5,19.5,,,108,Shirt,98,Trousers,1.0047537094493562
6,16.8,63.2,19.4,114,Jacket,113,Sweatshirt,123,Shorts,2.3270739590511105
6,16.8,63.2,19.4,114,Jacket,110,Sweater,123,Shorts,2.3204072923844437
6,16.8,63.2,19.4,114,Jacket,110,Sweater,126,Shorts,2.311518403495555
6,16.8,63.2,19.4,114,Jacket,110,Sweater,132,Skirt,2.311518403495555
6,16.8,63.2,19.4,114,Jacket,110,Sweater,122,Trousers,2.308555440532592
7,28.1,44.1,19.6,,,153,T-shirt,146,Shorts,3.291388765649999
7,28.1,44.1,19.6,,,153,T-shirt,144,Shorts,3.122817337078571
7,28.1,44.1,19.6,,,148,Sweatshirt,146,Shorts,2.9763887656499994
7,28.1,44.1,19.6,,,150,Sweatshirt,146,Shorts,2.691388765649999
7,28.1,44.1,19.6,,,135,Blazer,146,Shorts,2.6869789355937486
8,23.1,41.6,6.6,,,159,Blazer,167,Skirt,1.3668328157299974
8,23.1,41.6,6.6,,,157,Blazer,171,Skirt,1.3628328157299974
8,23.1,41.6,6.6,,,159,Blazer,168,Trousers,1.344944271909999
8,23.1,41.6,6.6,,,160,T-shirt,171,Skirt,1.3388328157299973
8,23.1,41.6,6.6,,,159,Blazer,169,Trousers,1.2418885438199985
9,-1.9,43.8,22.4,187,Jacket,172,Sweatshirt,182,Trousers,5.929876159799998
9,-1.9,43.8,22.4,187,Jacket,175,T-shirt,182,Trousers,5.724845199749998
9,-1.9,43.8,22.4,178,Jacket,175,T-shirt,182,Trousers,5.7054936354555545
9,-1.9,43.8,22.4,178,Jacket,172,Sweatshirt,182,Trousers,5.700524595505555
9,-1.9,43.8,22.4,180,Jacket,172,Sweatshirt,182,Trousers,5.631511866416664
10,-3.1,60.5,4.0,197,Jacket,192,T-shirt,202,Trousers,6.920555210486666
10,-3.1,60.5,4.0,197,Jacket,194,T-shirt,202,Trousers,6.915221877153332
10,-3.1,60.5,4.0,197,Jacket,191,Blazer,202,Trousers,6.904555210486666
10,-3.1,60.5,4.0,197,Jacket,195,T-shirt,202,Trousers,6.5252218771533315
10,-3.1,60.5,4.0,197,Jacket,193,Shirt,202,Trousers,6.299221877153332
11,17.5,20.1,21.3,212,Coat,224,T-shirt,222,Skirt,1.5043070891738062
11,17.5,20.1,21.3,212,Coat,224,T-shirt,219,Skirt,1.5016841116460307
11,17.5,20.1,21.3,212,Coat,224,T-shirt,220,Shorts,1.4883507783126975
11,17.5,20.1,21.3,212,Coat,223,Blazer,222,Skirt,1.4409737558404727
11,17.5,20.1,21.3,212,Coat,223,Blazer,219,Skirt,1.4383507783126972
12,-3.7,30.2,25.5,234,Jacket,228,Shirt,247,Trousers,6.744428101747218
12,-3.7,30.2,25.5,235,Jacket,228,Shirt,247,Trousers,6.523154881709717
12,-3.7,30.2,25.5,233,Jacket,228,Shirt,247,Trousers,6.3053078751555525
12,-3.7,30.2,25.5,234,Jacket,243,Shirt,247,Trousers,6.3053078751555525
12,-3.7,30.2,25.5,234,Jacket,227,Sweatshirt,247,Trousers,6.3019745418222195
13,1.6,39.9,2.9,260,Jacket,251,Sweatshirt,261,Trousers,6.300000000000001
13,1.6,39.9,2.9,257,Jacket,251,Sweatshirt,261,Trousers,6.226
13,1.6,39.9,2.9,258,Coat,251,Sweatshirt,261,Trousers,6.21
13,1.6,39.9,2.9,260,Jacket,255,Sweater,261,Trousers,6.004444444444444
13,1.6,39.9,2.9,260,Jacket,252,Shirt,261,Trousers,5.8438888888888885
14,14.8,63.3,3.3,275,Coat,268,Shirt,279,Trousers,4.447129342072221
14,14.8,63.3,3.3,275,Coat,270,Sweater,279,Trousers,4.428826968788888
14,14.8,63.3,3.3,272,Jacket,268,Shirt,279,Trousers,4.132746817727778
14,14.8,63.3,3.3,272,Jacket,270,Sweater,279,Trousers,4.114444444444445
14,14.8,63.3,3.3,283,Coat,268,Shirt,279,Trousers,3.8421603021222213
15,24.0,64.9,23.9,,,306,Sweater,302,Skirt,2.057777531299999
15,24.0,64.9,23.9,,,306,Sweater,295,Skirt,1.6306346741571416
15,24.0,64.9,23.9,,,287,Sweater,302,Skirt,1.6233677012437482
15,24.0,64.9,23.9,,,306,Sweater,296,Trousers,1.2055948683785698
15,24.0,64.9,23.9,,,306,Sweater,305,Trousers,1.1955152568214256
16,5.1,40.0,11.0,317,Jacket,309,Sweater,322,Trousers,3.5777027835199955
16,5.1,40.0,11.0,317,Jacket,313,Shirt,322,Trousers,3.350443754306663
16,5.1,40.0,11.0,318,Coat,309,Sweater,322,Trousers,3.2830361168533293
16,5.1,40.0,11.0,317,Jacket,311,T-shirt,322,Trousers,3.0564066022466627
16,5.1,40.0,11.0,318,Coat,313,Shirt,322,Trousers,3.0557770876399966
17,-1.3,31.4,5.5,329,Coat,325,Sweater,338,Trousers,8.565592362546665
17,-1.3,31.4,5.5,329,Coat,326,T-shirt,338,Trousers,8.319259029213331
17,-1.3,31.4,5.5,329,Coat,324,Shirt,338,Trousers,8.098592362546666
17,-1.3,31.4,5.5,329,Coat,327,Sweater,338,Trousers,7.735259029213332
17,-1.3,31.4,5.5,329,Coat,328,T-shirt,338,Trousers,7.525259029213332
18,-0.5,93.3,12.3,345,Coat,342,Shirt,361,Trousers,8.701656742341024
18,-0.5,93.3,12.3,345,Coat,360,Shirt,361,Trousers,8.111913152597435
18,-0.5,93.3,12.3,345,Coat,358,Shirt,361,Trousers,8.009363339287177
18,-0.5,93.3,12.3,345,Coat,343,Shirt,361,Trousers,7.809861870546151
18,-0.5,93.3,12.3,345,Coat,356,Sweater,361,Trousers,7.801656742341024
19,1.6,4.8,26.2,370,Coat,367,Sweatshirt,375,Trousers,7.81611076604222
19,1.6,4.8,26.2,373,Jacket,367,Sweatshirt,375,Trousers,7.81611076604222
19,1.6,4.8,26.2,371,Coat,367,Sweatshirt,375,Trousers,7.51611076604222
19,1.6,4.8,26.2,370,Coat,364,Blazer,375,Trousers,7.42611076604222
19,1.6,4.8,26.2,373,Jacket,364,Blazer,375,Trousers,7.42611076604222
21,5.3,58.1,24.6,400,Jacket,412,Shirt,411,Trousers,3.743033071517458
21,5.3,58.1,24.6,400,Jacket,395,T-shirt,411,Trousers,3.7319219604063467
21,5.3,58.1,24.6,400,Jacket,399,Sweater,411,Trousers,3.6202243336896798
21,5.3,58.1,24.6,400,Jacket,398,Sweater,411,Trousers,3.6196997381841247
21,5.3,58.1,24.6,400,Jacket,398,Sweater,408,Trousers,3.5334265181466247
22,2.9,86.1,23.1,422,Jacket,441,Blazer,433,Trousers,5.8800740740740745
22,2.9,86.1,23.1,424,Jacket,441,Blazer,433,Trousers,5.874740740740741
22,2.9,86.1,23.1,422,Jacket,441,Blazer,431,Trousers,5.818800854036573
22,2.9,86.1,23.1,424,Jacket,441,Blazer,431,Trousers,5.81346752070324
22,2.9,86.1,23.1,422,Jacket,421,Shirt,431,Trousers,5.6148913251143515
23,-2.6,61.5,23.7,448,Jacket,459,Sweatshirt,452,Trousers,7.430814584768887
23,-2.6,61.5,23.7,448,Jacket,458,Sweater,452,Trousers,7.217481251435554
23,-2.6,61.5,23.7,448,Jacket,443,Sweatshirt,452,Trousers,7.052481251435554
23,-2.6,61.5,23.7,448,Jacket,460,Sweater,452,Trousers,6.914147918102222
23,-2.6,61.5,23.7,448,Jacket,446,Sweatshirt,452,Trousers,6.8341479181022216
25,25.6,94.0,5.0,,,486,T-shirt,499,Skirt,3.7266754370783306
25,25.6,94.0,5.0,,,486,T-shirt,495,Shorts,3.5967868932583325
25,25.6,94.0,5.0,,,500,Shirt,495,Shorts,3.0109071198499984
25,25.6,94.0,5.0,,,486,T-shirt,496,Trousers,2.725508252808328
25,25.6,94.0,5.0,,,500,Shirt,499,Skirt,2.7207956636699966
26,12.6,98.5,15.6,509,Coat,503,Sweater,517,Trousers,5.31409870106976
26,12.6,98.5,15.6,511,Coat,503,Sweater,517,Trousers,5.301770823060237
26,12.6,98.5,15.6,509,Coat,504,Shirt,517,Trousers,4.809432034403092
26,12.6,98.5,15.6,509,Coat,503,Sweater,513,Trousers,4.804098701069759
26,12.6,98.5,15.6,511,Coat,504,Shirt,517,Trousers,4.797104156393569
27,22.9,46.4,24.7,,,529,Sweater,537,Shorts,1.9530437298687486
27,22.9,46.4,24.7,,,529,Sweater,541,Shorts,1.523633899812498
27,22.9,46.4,24.7,,,529,Sweater,542,Skirt,1.512453559924999
27,22.9,46.4,24.7,,,528,Sweater,537,Shorts,1.3663770632020822
27,22.9,46.4,24.7,,,531,Sweater,537,Shorts,1.3538306231270814
28,20.6,70.0,28.6,,,551,Sweatshirt,558,Trousers,2.8000655781409085
28,20.6,70.0,28.6,,,551,Sweatshirt,557,Skirt,2.6880655781409084
28,20.6,70.0,28.6,,,551,Sweatshirt,561,Skirt,2.4040655781409086
28,20.6,70.0,28.6,,,551,Sweatshirt,560,Skirt,2.3960655781409086
28,20.6,70.0,28.6,,,550,Sweater,561,Skirt,2.230909090909091
29,23.9,32.3,20.4,,,575,T-shirt,583,Skirt,1.4779999999999998
29,23.9,32.3,20.4,,,571,Sweater,585,Trousers,1.328944271909999
29,23.9,32.3,20.4,,,573,Sweatshirt,584,Skirt,1.3279999999999998
29,23.9,32.3,20.4,,,575,T-shirt,584,Skirt,1.216
29,23.9,32.3,20.4,,,574,Blazer,584,Skirt,1.2089442719099992
30,23.2,36.3,3.5,,,588,Blazer,596,Shorts,1.9
30,23.2,36.3,3.5,,,588,Blazer,609,Shorts,1.8949999999999998
30,23.2,36.3,3.5,,,590,Sweater,598,Trousers,1.6205901699437495
30,23.2,36.3,3.5,,,588,Blazer,599,Skirt,1.4849999999999999
30,23.2,36.3,3.5,,,588,Blazer,598,Trousers,1.48
31,26.1,2.2,18.7,,,611,Sweatshirt,620,Trousers,2.725027346441664
31,26.1,2.2,18.7,,,625,Sweatshirt,620,Trousers,2.4167868932583323
31,26.1,2.2,18.7,,,612,Sweater,620,Trousers,2.415814239699997
31,26.1,2.2,18.7,,,613,Sweater,620,Trousers,2.4083606797749977
31,26.1,2.2,18.7,,,610,T-shirt,620,Trousers,2.0893333333333333
33,14.0,22.2,1.0,647,Jacket,646,Blazer,652,Trousers,2.9199022170408306
33,14.0,22.2,1.0,647,Jacket,646,Blazer,654,Trousers,2.9199022170408306
33,14.0,22.2,1.0,647,Jacket,642,T-shirt,652,Trousers,2.918013673220832
33,14.0,22.2,1.0,647,Jacket,642,T-shirt,654,Trousers,2.7080136732208318
33,14.0,22.2,1.0,647,Jacket,644,Blazer,652,Trousers,2.6299393691008315
35,6.2,71.3,1.3,691,Coat,698,Sweater,699,Trousers,6.306763476725396
35,6.2,71.3,1.3,691,Coat,682,Shirt,699,Trousers,6.299144429106349
35,6.2,71.3,1.3,691,Coat,700,Sweater,699,Trousers,6.022001571963491
35,6.2,71.3,1.3,691,Coat,686,Sweatshirt,699,Trousers,6.002953952915872
35,6.2,71.3,1.3,691,Coat,684,T-shirt,699,Trousers,5.695334905296825
36,-4.0,50.5,22.6,708,Jacket,702,Sweatshirt,715,Trousers,9.470666666666666
36,-4.0,50.5,22.6,708,Jacket,702,Sweatshirt,713,Trousers,9.100999999999999
36,-4.0,50.5,22.6,708,Jacket,703,Sweatshirt,715,Trousers,9.020666666666667
36,-4.0,50.5,22.6,708,Jacket,702,Sweatshirt,712,Trousers,8.960666666666667
36,-4.0,50.5,22.6,708,Jacket,704,Blazer,715,Trousers,8.86
37,8.2,62.9,10.3,725,Coat,719,Sweatshirt,734,Trousers,4.836550135143051
37,8.2,62.9,10.3,725,Coat,737,Sweater,734,Trousers,4.819883468476385
37,8.2,62.9,10.3,726,Jacket,737,Sweater,734,Trousers,4.722816046504165
37,8.2,62.9,10.3,725,Coat,717,Sweatshirt,734,Trousers,4.529883468476385
37,8.2,62.9,10.3,725,Coat,718,Sweatshirt,734,Trousers,4.529883468476385
38,14.8,5.2,14.9,745,Coat,739,Sweatshirt,751,Trousers,2.9313333333333333
38,14.8,5.2,14.9,745,Coat,739,Sweatshirt,752,Trousers,2.9313333333333333
38,14.8,5.2,14.9,747,Coat,739,Sweatshirt,751,Trousers,2.737333333333333
38,14.8,5.2,14.9,747,Coat,739,Sweatshirt,752,Trousers,2.737333333333333
38,14.8,5.2,14.9,744,Coat,739,Sweatshirt,751,Trousers,2.7319999999999998
39,24.3,19.5,7.3,,,755,T-shirt,766,Shorts,1.0138885438199983
39,24.3,19.5,7.3,,,758,Blazer,766,Shorts,0.9978885438199983
39,24.3,19.5,7.3,,,756,Sweatshirt,768,Trousers,0.7298885438199982
39,24.3,19.5,7.3,,,757,T-shirt,765,Trousers,0.7228328157299975
39,24.3,19.5,7.3,,,756,Sweatshirt,769,Skirt,0.7209442719099991
40,25.1,48.6,18.3,,,771,Blazer,784,Shorts,3.145888543819998
40,25.1,48.6,18.3,,,772,Sweater,784,Shorts,2.432944271909999
40,25.1,48.6,18.3,,,773,Sweater,784,Shorts,2.149888543819998
40,25.1,48.6,18.3,,,770,Shirt,784,Shorts,2.1249442719099987
40,25.1,48.6,18.3,,,774,T-shirt,784,Shorts,2.116944271909999
41,7.5,81.8,18.6,792,Coat,788,Sweatshirt,796,Trousers,5.406000000000001
41,7.5,81.8,18.6,791,Coat,788,Sweatshirt,796,Trousers,5.106000000000001
41,7.5,81.8,18.6,795,Coat,788,Sweatshirt,796,Trousers,5.100666666666667
41,7.5,81.8,18.6,794,Coat,788,Sweatshirt,796,Trousers,4.811333333333333
41,7.5,81.8,18.6,793,Jacket,788,Sweatshirt,796,Trousers,4.79
42,26.6,10.7,10.1,,,806,Shirt,816,Shorts,2.6932218771533316
42,26.6,10.7,10.1,,,807,Blazer,816,Shorts,2.4232218771533316
42,26.6,10.7,10.1,,,804,T-shirt,816,Shorts,2.399888543819998
42,26.6,10.7,10.1,,,806,Shirt,818,Shorts,2.393221877153332
42,26.6,10.7,10.1,,,806,Shirt,817,Trousers,2.390277605243332
43,18.0,90.4,9.3,,,826,Sweatshirt,835,Skirt,2.5329508497187474
43,18.0,90.4,9.3,,,822,Sweatshirt,835,Skirt,2.4255901699437494
43,18.0,90.4,9.3,,,840,T-shirt,835,Skirt,2.4099999999999997
43,18.0,90.4,9.3,,,837,Shirt,835,Skirt,2.252360679774998
43,18.0,90.4,9.3,,,824,Sweatshirt,835,Skirt,2.096180339887499
44,6.9,71.2,5.2,859,Jacket,861,Sweater,863,Trousers,6.301208965266468
44,6.9,71.2,5.2,859,Jacket,844,Sweatshirt,863,Trousers,6.015066894105355
44,6.9,71.2,5.2,848,Coat,861,Sweater,863,Trousers,5.987482185303968
44,6.9,71.2,5.2,859,Jacket,846,T-shirt,863,Trousers,5.916178005216467
44,6.9,71.2,5.2,859,Jacket,845,Shirt,863,Trousers,5.7171652761275755
45,21.8,65.1,22.4,,,867,Blazer,878,Skirt,1.3299999999999998
45,21.8,65.1,22.4,,,867,Blazer,885,Skirt,1.3242857142857143
45,21.8,65.1,22.4,,,869,Shirt,877,Shorts,1.1964285714285714
45,21.8,65.1,22.4,,,867,Blazer,877,Shorts,1.1814285714285715
45,21.8,65.1,22.4,,,881,Sweater,877,Shorts,1.1664285714285716
47,4.7,24.5,2.6,920,Coat,908,Blazer,916,Trousers,8.529799989774602
47,4.7,24.5,2.6,920,Coat,909,T-shirt,916,Trousers,8.361322751322751
47,4.7,24.5,2.6,920,Coat,907,T-shirt,916,Trousers,8.103874063848677
47,4.7,24.5,2.6,920,Coat,923,Shirt,916,Trousers,8.088359788359789
47,4.7,24.5,2.6,920,Coat,908,Blazer,919,Trousers,8.020249643065078
48,7.4,42.4,3.5,935,Jacket,931,Blazer,941,Trousers,4.722185070162221
48,7.4,42.4,3.5,935,Jacket,928,T-shirt,941,Trousers,4.708536979525555
48,7.4,42.4,3.5,935,Jacket,947,Blazer,941,Trousers,4.430185070162222
48,7.4,42.4,3.5,935,Jacket,931,Blazer,944,Trousers,4.417740625717777
48,7.4,42.4,3.5,935,Jacket,932,Shirt,941,Trousers,4.408536979525556
49,24.4,24.8,23.7,,,957,Sweatshirt,967,Trousers,1.2068328157299975
49,24.4,24.8,23.7,,,954,Sweater,967,Trousers,0.9457770876399967
49,24.4,24.8,23.7,,,956,Shirt,967,Trousers,0.9428328157299976
49,24.4,24.8,23.7,,,953,Shirt,967,Trousers,0.9338885438199983
49,24.4,24.8,23.7,,,955,Sweatshirt,967,Trousers,0.9178885438199984
50,15.7,63.7,13.0,977,Jacket,988,Sweatshirt,986,Shorts,2.264021081861904
50,15.7,63.7,13.0,975,Jacket,988,Sweatshirt,986,Shorts,2.2602115580523803
50,15.7,63.7,13.0,977,Jacket,990,Shirt,986,Shorts,2.2564020342428566
50,15.7,63.7,13.0,975,Jacket,990,Shirt,986,Shorts,2.252592510433333
50,15.7,63.7,13.0,977,Jacket,988,Sweatshirt,985,Shorts,2.132830605671428
